timestamp,arm,status,model,arch,out,dataset,eval_split,eval_dataset,eval2_dataset,r,alpha,expert_r,use_rslora,init_lora,quant_aware,quant_aware_scale,lr,scheduler,warmup_steps,weight_decay,batch,grad_accum,world_size,eff_batch,epochs,steps_planned,steps_done,seq_len,targets,compute_dtype,attn_impl,parallel,shuffle,pack,pack_algo,ga_loss,max_samples,train_embeddings,train_head,prompt_format,trainable_params,n_train,n_val,n_eval2,start_loss,end_loss,best_val,best_val_step,start_val,start_eval2,final_val,final_eval2,total_s,s_per_step,sup_tok_s,tot_tok_s,peak_vram_gb,t_data_s,t_fwd_s,t_bwd_s,t_opt_s,dequant_s_per_step,phase,error,notes
2026-07-11T12:00:00,exl3-native,completed,/mnt/two/weights/dr-house_mdzerofata-gemma4-G4-MeroMero-26B-A4B-4.45bpw-exl3,gemma4moe,out/meromero_semancy_1ep,UnstableLlama/semancy,test,,,32,32,2,1,pissa,,,5e-05,cosine,,0.01,2,1,1,2,1,218,218,1024,down_proj gate_proj up_proj q_proj k_proj v_proj o_proj expert_gate_proj expert_up_proj expert_down_proj,bfloat16,,split,1,0,,,,,,gemma4-nothink,,436,116,,,,2.16,200,3.488,,,,7290,15,,,15.9,,,,,,,,reconstructed after 2026-07-14 run-log clobber; source: handoff S28 (MeroMero 1ep rerun; VRAM=max of 9.7/15.9)
2026-07-11T15:00:00,exl3-native,interrupted,/mnt/two/weights/Qwen_Qwen3.6-35B-A3B/6,qwen3.6-moe,out/qwen36_semancy_attn,UnstableLlama/semancy,test,,,32,32,,1,pissa,,,5e-05,cosine,,0.01,2,1,1,2,2,,20,1024,down_proj gate_proj up_proj q_proj k_proj v_proj o_proj,bfloat16,,split,1,0,,,,,,qwen3.5-nothink,,436,116,,,,2.26,20,2.616,,,,,,,,,,,,,,,,reconstructed after 2026-07-14 run-log clobber; source: handoff S28 (20-step A/B arm A)
2026-07-11T16:00:00,exl3-native,interrupted,/mnt/two/weights/Qwen_Qwen3.6-35B-A3B/6,qwen3.6-moe,out/qwen36_semancy_experts,UnstableLlama/semancy,test,,,32,32,2,1,pissa,,,5e-05,cosine,,0.01,2,1,1,2,2,,20,1024,down_proj gate_proj up_proj q_proj k_proj v_proj o_proj expert_gate_proj expert_up_proj expert_down_proj,bfloat16,,split,1,0,,,,,,qwen3.5-nothink,,436,116,,,,2.243,20,2.616,,,,,,,,,,,,,,,,reconstructed after 2026-07-14 run-log clobber; source: handoff S28 (20-step A/B arm B)
2026-07-12T03:40:00,exl3-native,completed,/mnt/two/weights/Qwen_Qwen3.5-4B/8,qwen3.5,out/semancer_qwen35_4b,UnstableLlama/semancy,test,,,32,32,,1,pissa,,,5e-05,cosine,,0.01,4,1,1,4,2,218,218,1024,down_proj gate_proj up_proj q_proj k_proj v_proj o_proj,bfloat16,,single,1,0,,,,,,qwen3.5-nothink,,436,116,,,,2.3075,108,2.9757,,2.4018,,1178,5.4037,213,236,11.37,,,,,,,,reconstructed after 2026-07-14 run-log clobber; source: train log (suite)
2026-07-12T04:10:00,exl3-native,completed,/home/unstable/weights/google_gemma-4-12B-it/6.00bpw,gemma4,out/semancer_gemma12b,UnstableLlama/semancy,test,,,32,32,,1,pissa,,,5e-05,cosine,,0.01,4,1,1,4,4,,,2048,down_proj gate_proj up_proj q_proj k_proj v_proj o_proj,bfloat16,,split,1,1,bfd,,,,,gemma4-nothink,,436,116,,,,5.5767,,,,6.0091,,,,,,,,,,,,,,reconstructed after 2026-07-14 run-log clobber; source: suite driver (DIVERGED lr 5e-5 run; PERF lost)
2026-07-12T04:57:20,exl3-native,failed,/mnt/two/weights/Qwen_Qwen3.6-27B/6,qwen3.6,out/semancer_qwen36_27b,UnstableLlama/semancy,test,,,32,32,,1,pissa,,,5e-05,cosine,,0.01,4,1,1,4,2,,2,1024,down_proj gate_proj up_proj q_proj k_proj v_proj o_proj,bfloat16,,split,1,0,,,,,,qwen3.5-nothink,,436,116,,,,,,,,,,,,,,,,,,,,train step 2,OutOfMemoryError: CUDA out of memory (340 MiB),reconstructed after 2026-07-14 run-log clobber; source: errors.log
2026-07-12T05:30:04,exl3-native,failed,/mnt/two/weights/Qwen_Qwen3.6-27B/6,qwen3.6,out/semancer_qwen36_27b,UnstableLlama/semancy,test,,,32,32,,1,pissa,,,5e-05,cosine,,0.01,4,1,1,4,2,,49,1024,down_proj gate_proj up_proj q_proj k_proj v_proj o_proj,bfloat16,,split,1,0,,,,,,qwen3.5-nothink,,436,116,,,,,,,,,,,,,,,,,,,,train step 49,OutOfMemoryError: CUDA out of memory (340 MiB),reconstructed after 2026-07-14 run-log clobber; source: errors.log
2026-07-12T08:00:00,exl3-native,completed,/mnt/two/weights/Qwen_Qwen3.6-27B/6,qwen3.6,out/semancer_qwen36_27b,UnstableLlama/semancy,test,,,32,32,,1,pissa,,,5e-05,cosine,,0.01,4,1,1,4,2,,,1024,down_proj gate_proj up_proj q_proj k_proj v_proj o_proj,bfloat16,,split,1,0,,,,,,qwen3.5-nothink,,436,116,,,,1.861,,,,2.0313,,,,,,,,,,,,,,reconstructed after 2026-07-14 run-log clobber; source: suite driver (train done 08:46; PERF lost)
2026-07-12T08:49:45,exl3-native,failed,/home/unstable/weights/google_gemma-4-31B-it,gemma4,out/semancer_gemma31b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baseline_eval,OutOfMemoryError: CUDA out of memory (5.25 GiB),"reconstructed after 2026-07-14 run-log clobber; source: errors.log (gemma31b attempt 1 of 3; retries 08:50:26, 08:51:08)"
2026-07-12T11:38:54,exl3-native,completed,/home/unstable/weights/google_gemma-4-12B-it/6.00bpw,gemma4,out/semancer_gemma12b,UnstableLlama/semancy,test,,,32,32,,1,pissa,,,1e-05,cosine,,0.01,4,1,1,4,4,72,72,2048,down_proj gate_proj up_proj q_proj k_proj v_proj o_proj,bfloat16,,split,1,1,bfd,,,,,gemma4-nothink,,436,116,,,,2.301,70,4.4048,,2.3002,,4096,56.8889,124,144,14.3,,,,,,,,"reconstructed after 2026-07-14 run-log clobber; source: train log (redo, lr 1e-5; VRAM=max of 14.30/11.09)"
2026-07-13T10:00:00,exl3-dpo,completed,/mnt/two/weights/meta-llama-Llama-3.2-3B-Instruct/4,llama,out/llama3b_dpo_smoke,HuggingFaceH4/ultrafeedback_binarized,test_prefs,,,32,32.0,,1,pissa,,,5e-06,,,,4,1,1,4,,20,20,,,,,,,,,,,,,,,,97,,,,,,0.6958,,0.6259,,969,,,,8.37,,,,,,,,"reconstructed after 2026-07-14 run-log clobber; source: handoff S29 (DPO smoke; acc .423->.649, margin -.004->.317)"
2026-07-13T14:00:00,exl3-kto,completed,/mnt/two/weights/meta-llama-Llama-3.2-3B-Instruct/4,llama,out/llama3b_kto_smoke,trl-lib/kto-mix-14k,test,,,32,32.0,,1,pissa,,,5e-06,,,,4,8,1,32,,20,20,,,,,,,,,,,,,,,,99,,,,,,0.4996,,0.4358,,889,,211,,7.46,,,,,,,,reconstructed after 2026-07-14 run-log clobber; source: handoff S30 (KTO smoke; D-U gap .002->.897)
2026-07-14T00:03:00,exl3-native,completed,/mnt/two/weights/meta-llama-Llama-3.2-3B-Instruct/4,LlamaForCausalLM,out/vs_unsloth_llama3b_exl3,UnstableLlama/semancy,test,,,32,32.0,,1,default,,,5e-05,cosine,3,0.01,4,1,1,4,1.0,109,109,1024,down_proj gate_proj k_proj o_proj q_proj up_proj v_proj,bfloat16,auto,single,1,0,,token,0,0,0,auto,48627712,436,116,,2.8403,2.7153,2.7301,100,3.487407,,2.7291,,314.0,2.8807,397,437,6.34,,,,,,,,row reconstructed from run log after schema-rotation clobbered the CSV
2026-07-14T00:15:31,unsloth-nf4,completed,/mnt/two/weights/meta-llama-Llama-3.2-3B-Instruct,LlamaForCausalLM,out/vs_unsloth_llama3b_unsloth,UnstableLlama/semancy,test,,,32,32.0,,1,default,,,5e-05,cosine,3,0.01,4,1,1,4,1.0,109,109,1024,q_proj k_proj v_proj o_proj gate_proj up_proj down_proj,bfloat16,unsloth,single,1,0,,token,0,0,0,llama3,48627712,436,116,0,2.873568,2.770673,2.80883,100,3.550062,,2.808458,,167.8,1.5393,741,817,4.279,0.1,27.1,48.2,1.1,,,,
2026-07-14T00:18:53,exl3-native,completed,/mnt/two/weights/meta-llama-Llama-3.2-3B-Instruct/4,LlamaForCausalLM,out/vs_unsloth_llama3b_exl3_pissa,UnstableLlama/semancy,test,,,32,32.0,,1,pissa,none,1.0,5e-05,cosine,3,0.01,4,1,1,4,1.0,109,109,1024,down_proj gate_proj k_proj o_proj q_proj up_proj v_proj,bfloat16,auto,single,1,0,,token,4000,0,0,auto,48627712,436,116,0,2.840159,2.765184,2.775965,100,3.487407,,2.775277,,356.2,3.2679,349,385,6.433,0.1,50.8,110.0,1.0,,,,
2026-07-14T23:29:09,exl3-native,completed,/mnt/two/weights/meta-llama-Llama-3.2-3B-Instruct/4,LlamaForCausalLM,out/vs_unsloth_llama3b_exl3_liger,UnstableLlama/semancy,test,,,32,32.0,,1,default,none,1.0,5e-05,cosine,3,0.01,4,1,1,4,1.0,109,109,1024,down_proj gate_proj k_proj o_proj q_proj up_proj v_proj,bfloat16,auto,single,1,0,,token,4000,0,0,auto,48627712,436,116,0,2.839777,2.711077,2.732554,100,3.487514,,2.731608,,318.2,2.9194,391,431,6.322,0.0,46.9,102.3,1.1,,,,
2026-07-15T00:06:44,exl3-native,completed,/mnt/two/weights/meta-llama-Llama-3.2-3B-Instruct/4,LlamaForCausalLM,out/vs_unsloth_llama3b_exl3_liger_nockpt,UnstableLlama/semancy,test,,,32,32.0,,1,default,none,1.0,5e-05,cosine,3,0.01,4,1,1,4,1.0,109,109,1024,down_proj gate_proj k_proj o_proj q_proj up_proj v_proj,bfloat16,auto,single,1,0,,token,4000,0,0,auto,48627712,436,116,0,2.839777,2.735376,2.745664,100,3.487514,,2.743874,,260.7,2.3921,477,526,12.367,0.1,37.0,62.3,1.1,,,,
2026-07-15T01:52:30,exl3-native,completed,/mnt/two/weights/meta-llama-Llama-3.2-3B-Instruct/4,LlamaForCausalLM,out/vs_unsloth_llama3b_exl3,UnstableLlama/semancy,test,,,32,32.0,,1,default,none,1.0,5e-05,cosine,3,0.01,4,1,1,4,1.0,109,109,1024,down_proj gate_proj k_proj o_proj q_proj up_proj v_proj,bfloat16,auto,single,1,0,,token,4000,0,0,auto,48627712,436,116,0,2.840559,2.710342,2.738939,100,3.488428,,2.737636,,315.4,2.8938,394,435,6.339,0.1,46.8,102.3,1.1,,,,
2026-07-15T03:17:09,exl3-native,completed,/mnt/two/weights/meta-llama-Llama-3.2-3B-Instruct/4,LlamaForCausalLM,out/vs_unsloth_llama3b_exl3,UnstableLlama/semancy,test,,,32,32.0,,1,default,none,1.0,5e-05,cosine,3,0.01,4,1,1,4,1.0,109,109,1024,down_proj gate_proj k_proj o_proj q_proj up_proj v_proj,bfloat16,auto,single,1,0,,token,4000,0,0,auto,48627712,436,116,0,2.840559,2.715674,2.74088,100,3.488428,,2.739388,,299.9,2.7516,415,457,6.339,0.1,39.3,95.4,1.4,,,,
